setID,number,name,year,theme,subtheme,pieces,minifigs,availability,packagingType,imageURL,bricksetURL
52483,L0002233,Phase 2 Clone Pilot,2026,Star Wars,Magazine Gift,5,1,Magazine gift,Paper bag,https://images.brickset.com/sets/images/L0002233-1.jpg,https://brickset.com/sets/L0002233-1
52688,L0002234,Anakin Skywalker,2026,Star Wars,Magazine Gift,6,1,Magazine gift,Paper bag,https://images.brickset.com/sets/images/L0002234-1.jpg,https://brickset.com/sets/L0002234-1
52723,MININ1,Mini N1 Starfighter,2026,Star Wars,Promotional,,,Promotional,None (loose parts),https://images.brickset.com/sets/images/MININ1-1.jpg,https://brickset.com/sets/MININ1-1
52517,WORKSHOP,R2-D2 Level Up Workshop,2026,Star Wars,Promotional,,,Promotional,None (loose parts),https://images.brickset.com/sets/images/WORKSHOP-1.jpg,https://brickset.com/sets/WORKSHOP-1
51972,72050,Mario Kart – Luigi & Mach 8,2026,Super Mario,Mario Kart,2234,,{Not specified},Box,https://images.brickset.com/sets/images/72050-1.jpg,https://brickset.com/sets/72050-1
52535,72051,{?},2026,Super Mario,Miscellaneous,1367,,{Not specified},Box,,https://brickset.com/sets/72051-1
52164,40912,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/40912-1
52536,72306,{?},2026,tbd,,1911,,{Not specified},Box,,https://brickset.com/sets/72306-1
51969,72421,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/72421-1
51970,72422,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/72422-1
51962,76345,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/76345-1
51963,76347,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/76347-1
51964,76348,{?},2026,tbd,,,,{Not specified},{Not specified},,https://brickset.com/sets/76348-1
51867,30735,Hot Rod Car,2026,Technic,,83,,Retail - limited,Paper bag,https://images.brickset.com/sets/images/30735-1.jpg,https://brickset.com/sets/30735-1
52294,30736,White Seaplane,2026,Technic,,82,,Retail - limited,Paper bag,https://images.brickset.com/sets/images/30736-1.jpg,https://brickset.com/sets/30736-1
51868,42218,John Deere 1470H Wheeled Harvester,2026,Technic,Licensed,117,,Retail,Box,https://images.brickset.com/sets/images/42218-1.jpg,https://brickset.com/sets/42218-1
51869,42219,Monster Jam Grave Digger,2026,Technic,Monster Jam,263,,Retail,Box,https://images.brickset.com/sets/images/42219-1.jpg,https://brickset.com/sets/42219-1
51870,42220,Monster Jam Sparkle Smash,2026,Technic,Monster Jam,243,,Retail,Box,https://images.brickset.com/sets/images/42220-1.jpg,https://brickset.com/sets/42220-1
51871,42221,NASA Artemis Space Launch System Rocket,2026,Technic,Licensed,632,,Retail,Box,https://images.brickset.com/sets/images/42221-1.jpg,https://brickset.com/sets/42221-1
51872,42222,Bugatti Chiron Pur Sport,2026,Technic,Licensed,771,,Retail,Box,https://images.brickset.com/sets/images/42222-1.jpg,https://brickset.com/sets/42222-1
51873,42223,1966 Ford GT40 MKII,2026,Technic,Licensed,793,,Retail,Box,https://images.brickset.com/sets/images/42223-1.jpg,https://brickset.com/sets/42223-1
51874,42224,Porsche 911 GT3 R REXY AO Racing,2026,Technic,Licensed,1313,,Retail,Box,https://images.brickset.com/sets/images/42224-1.jpg,https://brickset.com/sets/42224-1
51875,42225,Yellow Motorcycle,2026,Technic,,151,,Retail,Box,https://images.brickset.com/sets/images/42225-1.jpg,https://brickset.com/sets/42225-1
51876,42226,BMW M4 GT3 EVO,2026,Technic,Licensed,747,,Retail,Box,https://images.brickset.com/sets/images/42226-1.jpg,https://brickset.com/sets/42226-1
51877,42227,Jeep Wrangler Rubicon,2026,Technic,Licensed,723,,Retail,Box,https://images.brickset.com/sets/images/42227-1.jpg,https://brickset.com/sets/42227-1
51878,42228,McLaren F1 Team MCL39,2026,Technic,Licensed,1675,,Retail,Box,https://images.brickset.com/sets/images/42228-1.jpg,https://brickset.com/sets/42228-1
52542,42229,{?},2026,Technic,Fast & Furious,827,,Retail,Box,,https://brickset.com/sets/42229-1
52543,42231,{?},2026,Technic,Fast & Furious,1516,,Retail,Box,,https://brickset.com/sets/42231-1
52541,42232,{?},2026,Technic,Licensed,4104,,Retail,Box,,https://brickset.com/sets/42232-1
52544,42233,{?},2026,Technic,,44,,{Not specified},{Not specified},,https://brickset.com/sets/42233-1
52545,42234,{?},2026,Technic,,805,,Retail,Box,,https://brickset.com/sets/42234-1
52546,42235,{?},2026,Technic,Licensed,882,,Retail,Box,,https://brickset.com/sets/42235-1
52547,42236,{?},2026,Technic,,973,,Retail,Box,,https://brickset.com/sets/42236-1
52548,42238,{?},2026,Technic,Licensed,457,,Retail,Box,,https://brickset.com/sets/42238-1
52549,42239,{?},2026,Technic,Licensed,719,,Retail,Box,,https://brickset.com/sets/42239-1
52550,42240,{?},2026,Technic,Licensed,1547,,Retail,Box,,https://brickset.com/sets/42240-1
52551,42241,{?},2026,Technic,Licensed,771,,Retail,Box,,https://brickset.com/sets/42241-1
52552,42242,{?},2026,Technic,Licensed,1189,,Retail,Box,,https://brickset.com/sets/42242-1
52174,L0002290,Research Submarine,2026,Technic,Magazine Gift,70,,Magazine gift,Paper bag,https://images.brickset.com/sets/images/412601-1.jpg,https://brickset.com/sets/L0002290-1
52360,L0002291,Super Sports Car,2026,Technic,Magazine Gift,79,,Magazine gift,Paper bag,https://images.brickset.com/sets/images/L0002291-1.jpg,https://brickset.com/sets/L0002291-1
52502,L0002292,Motorcycle,2026,Technic,Magazine Gift,68,,Magazine gift,Paper bag,https://images.brickset.com/sets/images/L0002292-1.jpg,https://brickset.com/sets/L0002292-1
51879,77093,Ocarina of Time - The Final Battle,2026,The Legend of Zelda,Ocarina of Time,1003,3,Retail,Box,https://images.brickset.com/sets/images/77093-1.jpg,https://brickset.com/sets/77093-1
52677,76787,{?},2026,Wednesday,,,,{Not specified},{Not specified},,https://brickset.com/sets/76787-1
52678,76788,{?},2026,Wednesday,,,,{Not specified},{Not specified},,https://brickset.com/sets/76788-1
