SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"51700","43285","1","2026","Normal","Disney","Licensed","The Little Mermaid","Ariel's Magical Mini Palace","X","43285-1","19.99","17.99","24.99","19.99","03/12/2025 00:00:00","04/05/2026 00:00:00","179","1","dp237,","Box","Retail","6589959","6589958","5702018066768","673419424097","","","","","13","8","9","5","","72","112","4","11","X","0","","","Lisa Waggner,","01/01/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51701","43286","1","2026","Normal","Disney","Licensed","The Aristocats","The Aristocats Adorable Marie","X","43286-1","34.99","34.99","44.99","39.99","03/12/2025 00:00:00","04/05/2026 00:00:00","369","","","Box","Retail","6589961","6589960","5702018066775","673419424103","26.2","19.1","7.2","0.49","15","13","9","7","","275","299","2","10","X","0","33.6600","","Lisa Waggner,","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51702","43287","1","2026","Normal","Disney","Licensed","Frozen II","Olaf and Bruni's Picnic Fun","X","43287-1","49.99","44.99","64.99","49.99","03/12/2025 00:00:00","04/05/2026 00:00:00","478","","","Box","Retail","6589963","6589962","5702018066782","673419424110","26.2","22.2","9.5","","23","20","15","7","","154","286","6","11","X","0","28.2300","","Robert Lehmann,","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51703","43288","1","2026","Normal","Disney","Licensed","The Nightmare Before Christmas","Sally's Flowerpot","X","43288-1","49.99","44.99","64.99","49.99","02/12/2025 00:00:00","04/05/2026 00:00:00","346","1","dis192,","Box","Retail","6589965","6589964","5702018066706","673419423939","","","","","27","12","10","9","","232","564","2","3","X","0","39.8900","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51982","43289","1","2026","Normal","Disney","Licensed","","Belle & the Beast's Enchanted Castle","X","43289-1","39.99","34.99","54.99","39.99","03/05/2026 00:00:00","04/05/2026 00:00:00","254","","","Box","{Not specified}","6589631","6589630","5702018064832","673419423663","","","","","","","","","","4","62","0","12","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51704","43290","1","2026","Normal","Disney","Licensed","Up","Kevin & Dug","X","43290-1","59.99","54.99","79.99","59.99","02/12/2025 00:00:00","04/05/2026 00:00:00","628","","","Box","Retail","6589968","6589967","5702018066713","673419423946","26.2","28.2","5.9","","29","12","16","9","","394","876","4","3","X","0","","","","01/03/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51705","43291","1","2026","Normal","Disney","Licensed","Mini Disney Princess","Mini Belle & Tiana with Castle","X","43291-1","39.99","34.99","49.99","39.99","03/12/2025 00:00:00","04/05/2026 00:00:00","358","","","Box","Retail","6589970","6589969","5702018066799","673419424035","28.2","26.2","7.6","","30","23","6","5","","44","67","10","10","X","0","","","","01/01/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51979","43292","1","2026","Normal","Disney","Licensed","","Pua","X","43292-1","69.99","59.99","99.99","69.99","03/05/2026 00:00:00","04/05/2026 00:00:00","885","","","Box","Retail","6589972","6589971","5702018066805","673419424042","","","","","","","","9","","6","142","0","12","X","0","","","Wes Talbott,","","","","","0","0","0","0","0","","","","","","","","",""
"51983","43293","1","2026","Normal","Disney","Licensed","","Kakamora","X","43293-1","39.99","34.99","54.99","39.99","03/05/2026 00:00:00","04/05/2026 00:00:00","407","","","Box","Retail","6589974","6589973","5702018066812","673419424158","","","","","","","","9","","4","124","0","11","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51984","43294","1","2026","Normal","Disney","Licensed","","Rapunel's Mini Tower","X","43294-1","19.99","17.99","27.99","19.99","03/05/2026 00:00:00","04/05/2026 00:00:00","171","","","Box","{Not specified}","6589976","6589975","5702018066829","673419424165","","","","","","","","","","4","57","0","17","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
